Id,NewId,Title,LogoUrl
FilmBox HD,FilmBox HD,FilmBox HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/filmbox.jpg
FilmBox Premium,FilmBox Premium,FilmBox Premium,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/filmbox_premium_hd.jpg
FilmBox Stars,FilmBox Stars,FilmBox Stars,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/filmbox_stars.jpg
Galaxy4,Galaxy4,Galaxy4,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/galaxy_4.jpg
Galaxy4 HD,Galaxy4 HD,Galaxy4 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/galaxy_4.jpg
Hangulat,Hangulat,Hangulat,
HBO,HBO,HBO,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo.jpg
HBO 2,HBO 2,HBO 2,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo2.jpg
HBO 2 HD,HBO 2 HD,HBO 2 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo2.jpg
HBO 3,HBO 3,HBO 3,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo_3.jpg
HBO 3 HD,HBO 3 HD,HBO 3 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo_3.jpg
HBO HD,HBO HD,HBO HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hbo.jpg
Hegyvidek TV,Hegyvidek TV,Hegyvidek TV,
Heti TV,Heti TV,Heti TV,
HGTV,HGTV,HGTV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hgtv.jpg
Hír TV HD,Hír TV HD,Hír TV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/hir_tv.jpg
Hirschmilch Chillout Radio,Hirschmilch Chillout Radio,Hirschmilch Chillout Radio,
HISTORY HD,HISTORY HD,HISTORY HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/history_channel.jpg
HU - STORY 4,HU - STORY 4,HU - STORY 4,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/story_4.jpg
HunyadiTV,HunyadiTV,HunyadiTV,
ID HD,ID HD,ID HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/ig_hd.jpg
Infocsatorna I,Infocsatorna I,Infocsatorna I,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Digi_logo.svg/220px-Digi_logo.svg.png
Infocsatorna II,Infocsatorna II,Infocsatorna II,
Izaura TV,Izaura TV,Izaura TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/izaura_tv.jpg
Jazz TV,Jazz TV,Jazz TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/jazz_tv.jpg
JimJam,JimJam,JimJam,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/jimjam.jpg
Jocky TV,Jocky TV,Jocky TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/jocky_tv.jpg
Kispest TV,Kispest TV,Kispest TV,
Kölyök Klub HD,Kölyök Klub HD,Kölyök Klub HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/kolyok_klub.jpg
KOSSUTH RÁDIÓ,KOSSUTH RÁDIÓ,KOSSUTH RÁDIÓ,
Life TV HD,Life TV HD,Life TV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/life_tv.jpg
M1 HD,M1 HD,M1 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/m1.jpg
M2 / Petőfi TV HD,M2 / Petőfi TV HD,M2 / Petőfi TV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/m2.jpg
M4 Sport HD,M4 Sport HD,M4 Sport HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/m4_sport.jpg
M5 HD,M5 HD,M5 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/m5.jpg
Magyar Mozi TV,Magyar Mozi TV,Magyar Mozi TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/magyar_mozi.jpg
Magyar Sláger TV,Magyar Sláger TV,Magyar Sláger TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/magyar_slager_tv.jpg
MATCH4 HD,MATCH4 HD,MATCH4 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/match_4.jpg
MAX4,MAX4,MAX4,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/max_4.jpg
Mezzo,Mezzo,Mezzo,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/mezzo.jpg
Minimax,Minimax,Minimax,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/minimax.jpg
Mozi Klub,Mozi Klub,Mozi Klub,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/moziklub.jpg
Mozi+ HD,Mozi+ HD,Mozi+ HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/mozi_plusz_hd.jpg
Moziverzum,Moziverzum,Moziverzum,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/moziverzum.jpg
MTV 00s,MTV 00s,MTV 00s,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/mtv_00s.jpg
MTV European,MTV European,MTV European,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/mtv.jpg
Muzsika TV,Muzsika TV,Muzsika TV,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/muzsika_tv.jpg
Nat Geo HD,Nat Geo HD,Nat Geo HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/national_geographic_channel.jpg
Nat Geo Wild HD,Nat Geo Wild HD,Nat Geo Wild HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/nat_geo_wild_hd.jpg
Nick Jr.,Nick Jr.,Nick Jr.,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/nick_jr.jpg
Nickelodeon,Nickelodeon,Nickelodeon,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/nickelodeon.jpg
NickMusic EN,NickMusic EN,NickMusic EN,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/nick_music.jpg
Nicktoons,Nicktoons,Nicktoons,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/nicktoons.jpg
OzoneTV HD,OzoneTV HD,OzoneTV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/ozonetv.jpg
Paramount Network HD,Paramount Network HD,Paramount Network HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/paramount_network.jpg
PAX TV,PAX TV,PAX TV,
PETŐFI RÁDIÓ,PETŐFI RÁDIÓ,PETŐFI RÁDIÓ,
Prime,Prime,Prime,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/prime.jpg
Prime,Prime,Prime,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/prime.jpg
Pro7,Pro7,Pro7,
Promóció 1,Promóció 1,Promóció 1,
Promóció 2,Promóció 2,Promóció 2,
Promóció 3,Promóció 3,Promóció 3,
Radio1,Radio1,Radio1,
Rai Uno,Rai Uno,Rai Uno,
Rakosmente TV,Rakosmente TV,Rakosmente TV,
Regio Plusz TV,Regio Plusz TV,Regio Plusz TV,
RTL DE,RTL DE,RTL DE,
RTL Gold,RTL Gold,RTL Gold,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/rtl_gold.jpg
RTL HÁROM HD,RTL HÁROM HD,RTL HÁROM HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/rtl_harom.jpg
RTL HD,RTL HD,RTL HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/rtl.jpg
RTL KETTŐ HD,RTL KETTŐ HD,RTL KETTŐ HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/rtl_ketto.jpg
RTL Otthon HD,RTL Otthon HD,RTL Otthon HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/rtl_otthon.jpg
SAT1,SAT1,SAT1,
Signal TV,Signal TV,Signal TV,
Sky News,Sky News,Sky News,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/sky_news.jpg
Sorozat Klub,Sorozat Klub,Sorozat Klub,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/sorozatklub.jpg
Sorozat+,Sorozat+,Sorozat+,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/sorozat_plusz.jpg
Spektrum HD,Spektrum HD,Spektrum HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/spektrum_tv.jpg
Spektrum Home,Spektrum Home,Spektrum Home,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/spektrum_home.jpg
Spektrum Home,Spektrum Home,Spektrum Home,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/spektrum_home.jpg
Spíler1 TV HD,Spíler1 TV HD,Spíler1 TV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/spiler1.jpg
Spíler2 TV HD,Spíler2 TV HD,Spíler2 TV HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/spiler2.jpg
Sport 1 HD,Sport 1 HD,Sport 1 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/sport_1.jpg
Sport 2 HD,Sport 2 HD,Sport 2 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/sport_2.jpg
Story4,Story4,Story4,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/story_4.jpg
Story4 HD,Story4 HD,Story4 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/story_4.jpg
Super TV2 HD,Super TV2 HD,Super TV2 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/super_tv2.jpg
